,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,location,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,tempo_diff,oe_de_diff,de_oe_diff
0,1102,Air Force,79,1119,Army,68,A,N,-3.8299999999999983,-6.210000000000001,-0.39000000000000057,-0.5899999999999999,0.08999999999999986,0.3500000000000014,-2.5599999999999987,0.8599999999999994,-0.7099999999999991,0.46000000000000085,-0.6399999999999997,-1.2700000000000005,0.5899999999999999,-3.044399999999996,-11.9743,1.021799999999999
1,1110,American,84,1119,Army,74,A,B,-2.8699999999999974,-11.469999999999999,-1.1900000000000004,-5.710000000000001,-1.67,-2.6499999999999986,-4.14,0.9400000000000013,1.0300000000000011,0.9700000000000006,0.10000000000000053,-0.7900000000000005,-1.0800000000000018,-7.470099999999995,-6.962599999999995,-7.287899999999993
2,1259,Loyola MD,71,1119,Army,77,B,A,-3.66,-3.6899999999999977,-2.7,-7.300000000000001,1.9700000000000006,3.8200000000000003,-0.4800000000000004,-1.7600000000000016,-3.0,-0.9000000000000004,2.0999999999999996,-0.0600000000000005,1.0399999999999991,-2.7981999999999942,-13.177599999999998,3.9702999999999946
3,1250,Lehigh,51,1119,Army,70,B,B,-2.2099999999999973,-3.1499999999999986,-1.3100000000000005,-4.960000000000001,-0.5099999999999998,-0.9599999999999973,-2.5199999999999996,2.59,-1.0999999999999996,-1.0299999999999994,-0.96,-0.7300000000000004,-0.4200000000000017,-2.6821999999999946,-12.591699999999989,-0.5210000000000008
4,1353,Rutgers,75,1119,Army,72,A,A,-1.4599999999999973,0.18999999999999773,-1.6500000000000004,-4.460000000000001,1.7700000000000014,2.3800000000000026,0.7599999999999998,0.879999999999999,-1.7599999999999998,-0.4399999999999995,-0.14999999999999947,0.14999999999999947,2.2300000000000004,0.7009000000000043,-4.3892999999999915,1.9111000000000047
5,1383,St. Francis NY,54,1119,Army,67,B,B,-1.6099999999999994,-1.3800000000000026,-1.5300000000000002,-3.240000000000002,0.7400000000000002,1.5500000000000007,0.6300000000000008,3.030000000000001,-1.9699999999999989,0.09999999999999964,-0.27999999999999936,1.1599999999999993,1.6400000000000006,-1.3815999999999917,-11.341899999999995,-2.772999999999996
6,1223,Houston Baptist,74,1119,Army,72,A,B,-2.799999999999997,-2.8900000000000006,-2.67,-7.850000000000001,1.5600000000000005,2.860000000000003,-0.09999999999999964,2.030000000000001,-2.17,2.6899999999999995,-1.0699999999999994,-2.1300000000000003,3.1799999999999997,1.4758000000000067,-18.055499999999995,7.374600000000001
7,1298,Navy,55,1119,Army,60,B,A,-4.52,-4.130000000000003,-0.8700000000000001,-2.09,-3.2299999999999986,-3.0699999999999985,-0.5099999999999998,-0.030000000000001137,-1.8599999999999994,-0.3100000000000005,0.5200000000000005,-1.0200000000000005,0.7300000000000004,-5.6706999999999965,-15.977899999999991,1.4535000000000053
8,1298,Navy,79,1119,Army,57,A,B,-4.52,-4.130000000000003,-0.8700000000000001,-2.09,-3.2299999999999986,-3.0699999999999985,-0.5099999999999998,-0.030000000000001137,-1.8599999999999994,-0.3100000000000005,0.5200000000000005,-1.0200000000000005,0.7300000000000004,-5.6706999999999965,-15.977899999999991,1.4535000000000053
9,1248,Lafayette,66,1119,Army,85,B,A,-0.7699999999999996,-4.359999999999999,-0.20000000000000018,-3.830000000000002,0.3000000000000007,-1.0299999999999976,-2.84,-0.5300000000000011,-1.299999999999999,-0.5,-0.7599999999999998,-2.1300000000000003,-0.5,-2.5567999999999955,0.3260000000000076,10.464299999999994
10,1248,Lafayette,84,1119,Army,87,B,B,-0.7699999999999996,-4.359999999999999,-0.20000000000000018,-3.830000000000002,0.3000000000000007,-1.0299999999999976,-2.84,-0.5300000000000011,-1.299999999999999,-0.5,-0.7599999999999998,-2.1300000000000003,-0.5,-2.5567999999999955,0.3260000000000076,10.464299999999994
11,1154,The Citadel,69,1119,Army,84,B,N,-3.3099999999999987,-4.480000000000004,-1.6000000000000005,-5.68,-0.05999999999999872,-0.4499999999999993,-2.1999999999999993,1.5500000000000007,-1.4399999999999995,-0.33999999999999986,-2.03,-1.3300000000000005,0.39000000000000057,-2.713300000000004,-12.629199999999997,14.269300000000001
12,1159,Colgate,66,1119,Army,74,B,B,-0.6999999999999993,-5.960000000000001,0.839999999999999,-1.4299999999999997,-2.67,-4.269999999999998,-4.3,1.4699999999999989,-0.1999999999999993,-1.4700000000000006,-1.3599999999999994,-2.0000000000000004,-1.129999999999999,-5.505499999999998,-2.2446999999999946,5.123800000000003
13,1131,Boston University,91,1119,Army,70,A,A,-0.2799999999999976,-1.4399999999999977,0.4399999999999995,-0.21000000000000085,-0.9399999999999995,-1.8399999999999999,-1.6199999999999992,1.7899999999999991,-0.1899999999999995,-1.1199999999999992,1.1600000000000001,-2.41,-1.3300000000000018,-2.244199999999992,-5.020600000000002,-2.6735999999999933
14,1174,Delaware,89,1119,Army,74,A,B,1.0400000000000027,2.3500000000000014,-0.35000000000000053,-1.5100000000000016,5.27,7.16,-0.15000000000000036,3.3500000000000014,-3.219999999999999,-3.41,0.07000000000000028,-0.6400000000000006,0.5500000000000007,2.5955000000000013,0.8355000000000103,1.0422999999999973
15,1162,Columbia,81,1119,Army,64,A,A,-4.57,-9.700000000000003,0.0699999999999994,-2.129999999999999,3.629999999999999,3.0,-3.139999999999999,2.5,-2.4299999999999997,-0.8000000000000007,-0.8999999999999995,-1.4600000000000004,0.6999999999999993,-6.327300000000001,-4.714799999999997,-2.3569999999999993
16,1323,Notre Dame,93,1119,Army,60,A,A,0.3200000000000003,-0.46999999999999886,-0.40000000000000036,-2.3900000000000006,-0.7899999999999991,-1.6199999999999974,-0.5199999999999996,1.0300000000000011,1.0300000000000011,-2.66,-0.08999999999999986,-1.2000000000000006,-2.1099999999999994,-4.132400000000004,2.0668000000000006,1.6422000000000025
17,1102,Air Force,82,1238,Jackson St.,84,B,A,-0.870000000000001,-3.240000000000002,3.2399999999999998,8.39,-2.7699999999999996,-2.9400000000000013,-3.129999999999999,-0.5300000000000011,3.84,-1.4799999999999986,-0.6500000000000004,-0.27,-3.9499999999999993,-2.670099999999991,-7.931200000000004,11.852699999999999
18,1160,Colorado,94,1238,Jackson St.,70,A,A,0.5599999999999987,-1.2700000000000031,1.31,2.9400000000000013,2.59,3.84,-0.25,2.5500000000000007,1.9799999999999986,-1.7299999999999986,0.08999999999999986,0.1499999999999999,-6.25,-0.622099999999989,-0.1261999999999972,2.487799999999993
19,1380,Southern,60,1238,Jackson St.,36,A,A,1.4699999999999989,0.4199999999999946,1.9600000000000004,3.6499999999999986,-2.509999999999998,-0.40000000000000213,-0.5600000000000005,3.0599999999999987,2.7299999999999986,-0.9399999999999995,-0.39000000000000057,1.7399999999999998,-0.8099999999999987,-0.19829999999998904,-9.522400000000005,5.689999999999998
20,1380,Southern,68,1238,Jackson St.,63,A,B,1.4699999999999989,0.4199999999999946,1.9600000000000004,3.6499999999999986,-2.509999999999998,-0.40000000000000213,-0.5600000000000005,3.0599999999999987,2.7299999999999986,-0.9399999999999995,-0.39000000000000057,1.7399999999999998,-0.8099999999999987,-0.19829999999998904,-9.522400000000005,5.689999999999998
21,1341,Prairie View A&M,85,1238,Jackson St.,80,A,B,0.5799999999999983,2.1499999999999986,2.6199999999999997,5.919999999999998,-1.0599999999999987,1.0199999999999996,0.009999999999999787,-1.0899999999999999,0.9299999999999997,-0.5499999999999989,1.1499999999999995,-0.6200000000000001,-0.9299999999999997,0.3814000000000135,-9.664699999999996,16.6533
22,1341,Prairie View A&M,53,1238,Jackson St.,50,A,A,0.5799999999999983,2.1499999999999986,2.6199999999999997,5.919999999999998,-1.0599999999999987,1.0199999999999996,0.009999999999999787,-1.0899999999999999,0.9299999999999997,-0.5499999999999989,1.1499999999999995,-0.6200000000000001,-0.9299999999999997,0.3814000000000135,-9.664699999999996,16.6533
23,1290,Mississippi Valley St.,69,1238,Jackson St.,66,A,A,1.0899999999999999,4.909999999999997,2.4099999999999997,6.989999999999998,-1.5799999999999983,-0.5300000000000011,0.0600000000000005,-0.5600000000000023,1.0699999999999985,-0.03999999999999915,1.3999999999999995,-1.3699999999999999,-0.14999999999999858,5.348500000000001,-12.103099999999998,20.760999999999996
24,1290,Mississippi Valley St.,64,1238,Jackson St.,82,B,B,1.0899999999999999,4.909999999999997,2.4099999999999997,6.989999999999998,-1.5799999999999983,-0.5300000000000011,0.0600000000000005,-0.5600000000000023,1.0699999999999985,-0.03999999999999915,1.3999999999999995,-1.3699999999999999,-0.14999999999999858,5.348500000000001,-12.103099999999998,20.760999999999996
25,1408,Tulane,70,1238,Jackson St.,65,A,A,-2.6000000000000014,-5.8700000000000045,2.07,3.59,1.0700000000000003,2.5299999999999976,-1.7799999999999994,-0.1700000000000017,-0.5200000000000014,-2.25,-1.3500000000000005,-0.31999999999999984,-3.710000000000001,-4.253099999999996,-6.2646000000000015,16.322500000000005
26,1404,Tennessee Martin,64,1238,Jackson St.,68,B,A,2.509999999999998,5.419999999999995,3.3800000000000003,7.509999999999998,-0.7799999999999994,-0.9800000000000004,-0.39000000000000057,-3.460000000000001,3.969999999999999,-3.49,1.54,-0.6800000000000002,-1.9400000000000013,2.6640000000000015,-2.937899999999999,24.749799999999993
