,Unnamed: 0,season,daynum,teamA,scoreA,teamB,scoreB,wloc,numot,winner,loser,location,teamId_x,fgm_x,fga_x,fgm3_x,fga3_x,ftm_x,fta_x,or_x,dr_x,ast_x,to_x,stl_x,blk_x,pf_x,eFG_x,ftrate_x,possesions_x,to_percent_x,team_id_x,kaggle_team_name_x,TeamName_x,Tempo_x,RankTempo_x,AdjTempo_x,RankAdjTempo_x,OE_x,RankOE_x,AdjOE_x,RankAdjOE_x,DE_x,RankDE_x,AdjDE_x,RankAdjDE_x,Pythag_x,RankPythag_x,teamId_y,fgm_y,fga_y,fgm3_y,fga3_y,ftm_y,fta_y,or_y,dr_y,ast_y,to_y,stl_y,blk_y,pf_y,eFG_y,ftrate_y,possesions_y,to_percent_y,team_id_y,kaggle_team_name_y,TeamName_y,Tempo_y,RankTempo_y,AdjTempo_y,RankAdjTempo_y,OE_y,RankOE_y,AdjOE_y,RankAdjOE_y,DE_y,RankDE_y,AdjDE_y,RankAdjDE_y,Pythag_y,RankPythag_y
0,129204,2014,4,1102,79,1119,68,N,0,A,B,N,1102,22.07,51.82,7.14,21.71,13.29,19.25,8.71,22.86,13.39,13.46,5.29,2.96,18.89,0.4947896565032806,0.3714781937475878,65.71375,0.20482775674801695,1102,Air Force,Air Force,65.2047,239,65.3554,229,98.2459,286,98.0949,285,107.2134,238,105.6057,190,0.29975999999999997,260,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
1,132286,2014,82,1110,84,1119,74,A,0,A,B,B,1110,23.03,46.56,6.34,16.59,11.53,16.25,7.13,22.94,15.13,13.97,6.03,3.44,17.22,0.5627147766323024,0.3490120274914089,61.11875,0.2285714285714286,1110,American Univ,American,60.778999999999996,343,61.4065,342,104.9603,169,103.1066,199,96.4979,25,97.296,46,0.660846,98,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
2,132614,2014,89,1259,71,1119,77,A,0,B,A,A,1259,22.24,54.34,4.83,15.0,15.17,22.72,10.79,20.24,11.1,12.1,8.03,4.17,19.34,0.4537173352962826,0.41810820758189177,66.44200000000001,0.1821137232473435,1259,Loyola MD,Loyola MD,65.4509,228,66.0996,191,96.8091,310,96.8916,302,108.2371,258,108.5542,245,0.212981,293,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
3,132813,2014,93,1250,51,1119,70,H,0,B,A,B,1250,23.69,54.88,6.22,17.34,12.69,17.94,8.75,24.59,13.0,11.97,4.97,3.5,17.88,0.48833819241982507,0.3268950437317784,66.6215,0.17967172759544592,1250,Lehigh,Lehigh,65.5669,221,66.2093,184,99.5408,272,97.4775,294,103.7816,144,104.0629,155,0.320431,253,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
4,131012,2014,48,1353,75,1119,72,H,0,A,B,A,1353,24.44,58.22,5.88,17.84,14.97,21.28,12.03,22.88,12.34,12.56,5.78,4.38,20.53,0.47028512538646516,0.3655101339745792,68.858,0.18240436841035174,1353,Rutgers,Rutgers,68.95,69,68.581,69,101.2285,245,105.6799,148,110.0386,295,106.495,210,0.47792299999999993,170,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
5,130462,2014,33,1383,54,1119,67,H,0,B,A,B,1383,24.29,56.65,6.0,19.06,13.94,20.45,11.9,25.03,12.13,13.1,5.65,5.39,19.94,0.481729920564872,0.3609885260370697,67.56375,0.1938909548389484,1383,St Francis NY,St. Francis NY,66.8675,153,66.759,152,101.4733,240,98.7273,274,99.4687,67,101.8109,107,0.412488,203,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
6,130238,2014,26,1223,74,1119,72,A,1,A,B,B,1223,23.1,55.14,4.86,14.45,14.76,21.76,11.17,24.03,11.93,15.69,4.86,2.1,21.48,0.4630032644178455,0.3946318462096482,69.996,0.22415566603805934,1223,Houston Bap,Houston Baptist,69.7249,45,69.899,35,93.436,337,92.0137,344,110.9743,311,111.9585,313,0.094816,343,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
7,131633,2014,68,1298,55,1119,60,A,0,B,A,A,1298,21.38,53.9,6.66,20.21,9.97,15.83,10.76,21.97,12.24,12.69,6.45,3.21,19.03,0.4584415584415585,0.29369202226345087,63.34925,0.20031807795672404,1298,Navy,Navy,62.5784,336,63.4165,309,93.3296,340,94.0913,330,104.3421,159,106.0374,200,0.20188499999999998,298,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
8,133003,2014,96,1298,79,1119,57,A,0,A,B,B,1298,21.38,53.9,6.66,20.21,9.97,15.83,10.76,21.97,12.24,12.69,6.45,3.21,19.03,0.4584415584415585,0.29369202226345087,63.34925,0.20031807795672404,1298,Navy,Navy,62.5784,336,63.4165,309,93.3296,340,94.0913,330,104.3421,159,106.0374,200,0.20188499999999998,298,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
9,131255,2014,59,1248,66,1119,85,A,0,B,A,A,1248,25.13,53.67,7.33,18.47,13.5,17.87,8.43,21.47,12.8,12.5,5.17,2.1,17.8,0.5365194708403205,0.3329606856716974,66.22825,0.1887412093781732,1248,Lafayette,Lafayette,65.6923,218,66.3702,177,107.5733,102,110.3952,67,113.3585,333,115.0482,334,0.383486,212,1119,25.9,58.03,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,0.5112011028778218,0.32569360675512665,68.73750000000001,0.1891252955082742,1119,Army,Army,68.2491,99,68.8462,61,105.4573,158,104.5839,176,107.6478,246,110.0692,276,0.357123,230
