,Unnamed: 0,round,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,teamId_x,fgm_x,fga_x,fgm3_x,fga3_x,ftm_x,fta_x,or_x,dr_x,ast_x,to_x,stl_x,blk_x,pf_x,eFG_x,ftrate_x,possesions_x,to_percent_x,team_id_x,kaggle_team_name_x,TeamName_x,Tempo_x,RankTempo_x,AdjTempo_x,RankAdjTempo_x,OE_x,RankOE_x,AdjOE_x,RankAdjOE_x,DE_x,RankDE_x,AdjDE_x,RankAdjDE_x,Pythag_x,RankPythag_x,teamId_y,fgm_y,fga_y,fgm3_y,fga3_y,ftm_y,fta_y,or_y,dr_y,ast_y,to_y,stl_y,blk_y,pf_y,eFG_y,ftrate_y,possesions_y,to_percent_y,team_id_y,kaggle_team_name_y,TeamName_y,Tempo_y,RankTempo_y,AdjTempo_y,RankAdjTempo_y,OE_y,RankOE_y,AdjOE_y,RankAdjOE_y,DE_y,RankDE_y,AdjDE_y,RankAdjDE_y,Pythag_y,RankPythag_y
0,0,Championship,1246.0,Kentucky,54,1163.0,Connecticut,60,B,1246,25.18,55.79,5.09,15.65,20.47,30.0,14.65,26.5,11.5,12.21,4.76,6.24,19.0,0.4969528589352931,0.5377307761247535,67.6,0.18062130177514796,1246,Kentucky,Kentucky,66.8253,156,66.0445,195,112.2999,36,114.9428,19,98.7392,57,96.3031,35,0.884397,17,1163,24.38,54.38,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,0.5137918352335417,0.38617138653916877,65.94500000000001,0.17711729471529303,1163,Connecticut,Connecticut,65.9229,207,64.9789,247,108.2691,85,109.4778,80,95.4644,20,92.8815,11,0.86882,25
1,3,Elite Eight,1277.0,Michigan State,54,1163.0,Connecticut,60,B,1277,27.26,57.44,8.06,20.59,13.35,19.26,11.06,26.0,17.0,11.44,6.94,4.82,18.88,0.5447423398328691,0.3353064066852368,66.96849999999999,0.17082658264706543,1277,Michigan St,Michigan St.,66.067,200,65.6191,214,113.3864,24,117.2647,11,97.9993,45,96.5119,39,0.903769,10,1163,24.38,54.38,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,0.5137918352335417,0.38617138653916877,65.94500000000001,0.17711729471529303,1163,Connecticut,Connecticut,65.9229,207,64.9789,247,108.2691,85,109.4778,80,95.4644,20,92.8815,11,0.86882,25
2,8,Sweet Sixteen,1235.0,Iowa State,76,1163.0,Connecticut,81,B,1235,29.27,62.09,8.3,23.67,16.03,23.09,10.21,28.58,18.55,10.55,6.03,2.94,17.42,0.5382509260750523,0.37187952971492994,73.39775,0.14373737614572654,1235,Iowa St,Iowa St.,71.953,12,71.6611,13,113.4576,23,115.9219,15,100.9743,92,97.8163,54,0.8757729999999999,23,1163,24.38,54.38,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,0.5137918352335417,0.38617138653916877,65.94500000000001,0.17711729471529303,1163,Connecticut,Connecticut,65.9229,207,64.9789,247,108.2691,85,109.4778,80,95.4644,20,92.8815,11,0.86882,25
3,55,Round of 64,1386.0,Saint Joseph's,81,1163.0,Connecticut,89,B,1386,24.64,52.58,7.36,19.36,14.64,22.82,9.61,26.3,14.06,12.33,4.48,4.61,15.82,0.5386078356789654,0.4340053252187144,66.1395,0.18642414895788448,1386,St Joseph's PA,Saint Joseph's,66.108,194,65.7167,209,107.7297,97,110.323,68,101.0298,94,98.1365,55,0.7934939999999999,49,1163,24.38,54.38,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,0.5137918352335417,0.38617138653916877,65.94500000000001,0.17711729471529303,1163,Connecticut,Connecticut,65.9229,207,64.9789,247,108.2691,85,109.4778,80,95.4644,20,92.8815,11,0.86882,25
4,2,Final Four,1246.0,Kentucky,74,1458.0,Wisconsin,73,A,1246,25.18,55.79,5.09,15.65,20.47,30.0,14.65,26.5,11.5,12.21,4.76,6.24,19.0,0.4969528589352931,0.5377307761247535,67.6,0.18062130177514796,1246,Kentucky,Kentucky,66.8253,156,66.0445,195,112.2999,36,114.9428,19,98.7392,57,96.3031,35,0.884397,17,1458,24.21,52.88,7.76,20.79,17.36,23.33,8.79,24.39,12.12,8.06,5.0,3.52,14.94,0.5312027231467473,0.44118759455370643,63.231750000000005,0.12746760923112202,1458,Wisconsin,Wisconsin,63.8201,297,64.3561,275,115.2419,12,119.4575,5,101.0851,96,98.6776,59,0.900041,11
5,12,Sweet Sixteen,1124.0,Baylor,52,1458.0,Wisconsin,69,B,1124,25.0,55.79,7.39,19.24,16.39,24.36,14.18,24.06,14.52,11.79,5.09,5.67,17.55,0.5143394873633268,0.4366373902132999,64.971,0.18146557694971602,1124,Baylor,Baylor,63.9028,293,62.5716,331,114.1024,19,118.569,7,105.6855,195,102.0226,114,0.8492149999999999,31,1458,24.21,52.88,7.76,20.79,17.36,23.33,8.79,24.39,12.12,8.06,5.0,3.52,14.94,0.5312027231467473,0.44118759455370643,63.231750000000005,0.12746760923112202,1458,Wisconsin,Wisconsin,63.8201,297,64.3561,275,115.2419,12,119.4575,5,101.0851,96,98.6776,59,0.900041,11
6,28,Round of 32,1332.0,Oregon,77,1458.0,Wisconsin,85,B,1332,27.41,58.56,7.78,19.84,19.25,25.13,10.78,23.5,14.44,11.66,7.94,3.38,21.25,0.5344945355191256,0.42913251366120214,71.37675,0.16335851660379605,1332,Oregon,Oregon,69.9928,43,68.8245,63,114.7057,15,117.1227,12,103.3085,130,100.5606,90,0.852369,30,1458,24.21,52.88,7.76,20.79,17.36,23.33,8.79,24.39,12.12,8.06,5.0,3.52,14.94,0.5312027231467473,0.44118759455370643,63.231750000000005,0.12746760923112202,1458,Wisconsin,Wisconsin,63.8201,297,64.3561,275,115.2419,12,119.4575,5,101.0851,96,98.6776,59,0.900041,11
7,16,Round of 32,1246.0,Kentucky,78,1455.0,Wichita State,76,A,1246,25.18,55.79,5.09,15.65,20.47,30.0,14.65,26.5,11.5,12.21,4.76,6.24,19.0,0.4969528589352931,0.5377307761247535,67.6,0.18062130177514796,1246,Kentucky,Kentucky,66.8253,156,66.0445,195,112.2999,36,114.9428,19,98.7392,57,96.3031,35,0.884397,17,1455,24.73,54.09,6.85,19.73,18.64,25.58,11.88,26.73,13.36,10.45,6.85,5.12,16.91,0.5205213533000554,0.47291551118506187,64.81049999999999,0.1612393053594711,1455,Wichita St,Wichita St.,64.4923,276,65.0202,245,115.962,9,117.73299999999999,8,92.4094,12,92.69,10,0.939932,5
8,1,Final Four,1163.0,Connecticut,63,1196.0,Florida,53,A,1163,24.38,54.38,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,0.5137918352335417,0.38617138653916877,65.94500000000001,0.17711729471529303,1163,Connecticut,Connecticut,65.9229,207,64.9789,247,108.2691,85,109.4778,80,95.4644,20,92.8815,11,0.86882,25,1196,24.38,52.76,6.85,18.62,15.12,22.88,11.68,24.0,13.35,11.32,7.21,2.85,16.21,0.5270090978013647,0.4336618650492798,63.268,0.17892141366883732,1196,Florida,Florida,63.0694,325,63.1796,316,111.6412,46,115.75299999999999,17,91.5258,10,89.9943,5,0.947584,3
9,23,Round of 32,1338.0,Pittsburgh,45,1196.0,Florida,61,B,1338,24.85,53.88,5.15,14.44,17.62,24.79,12.15,23.94,15.62,10.56,7.0,3.0,17.5,0.5090014847809948,0.4600965107646622,64.06525,0.16483194867732506,1338,Pittsburgh,Pittsburgh,62.9019,329,63.9695,291,112.8605,28,115.09100000000001,18,97.5045,38,96.4552,37,0.884056,18,1196,24.38,52.76,6.85,18.62,15.12,22.88,11.68,24.0,13.35,11.32,7.21,2.85,16.21,0.5270090978013647,0.4336618650492798,63.268,0.17892141366883732,1196,Florida,Florida,63.0694,325,63.1796,316,111.6412,46,115.75299999999999,17,91.5258,10,89.9943,5,0.947584,3
